waveform	Dev0/Ai6	Dev0/Ai14	[2]	[3]	[4]
t0	09.05.2018  17:14:25,326158	09.05.2018  17:14:25,326158	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000
delta t	5,000000E-5	5,000000E-5	1,000000	1,000000	1,000000

time	Dev0/Ai6	Dev0/Ai14	Y[2]	Y[3]	Y[4]
09.05.2018  17:14:25,336808	1,602197E-3	-2,288853E-4	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336858	2,059968E-3	2,670329E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336908	2,517739E-3	2,822919E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336958	2,059968E-3	8,392462E-4	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,337008	5,000000E+0	1,449607E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,337058	5,000000E+0	2,365148E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,337108	5,000000E+0	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,337158	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,337208	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,337258	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,337308	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,337358	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,337408	2,517739E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,337458	1,449607E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,337508	1,602197E-3	2,670329E-3	0,000000E+0	7,450000E+1	1,000000E+0
